complexity,object_count,triangles_per_mesh,transition,from_mode,to_mode,ray_count,from_median_ms,to_median_ms,median_reduction_ms,median_speedup,from_p95_ms,to_p95_ms,p95_reduction_ms,p95_speedup
16x,25,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,257,0.189354,0.1580835,0.03127050000000001,1.1978100181233335,0.23399999999999987,0.2115955,0.022404499999999883,1.10588363174075
16x,25,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,0.260417,0.2536255,0.006791500000000006,1.0267776702263771,0.34285659999999996,0.31260269999999996,0.0302539,1.096780673999297
16x,100,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0,4.2e-05,4.1e-05,9.999999999999972e-07,1.024390243902439,4.2e-05,4.2e-05,0.0,1.0
16x,100,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5,5.470938,0.010437499999999999,5.4605005,524.1617245508983,5.918935449999999,0.013999699999999986,5.904935749999999,422.7901633606438
16x,100,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,9,11.6694795,0.017687500000000002,11.651792,659.7585583038868,17.79084819999999,0.0217101,17.76913809999999,819.4733419007738
16x,100,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,19.52375,0.035583,19.488167,548.6819548660878,23.62637679999998,0.04246904999999999,23.58390774999998,556.319880006734
16x,100,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,33,38.617333,0.071354,38.545979,541.207682820865,119.7605023999999,0.08309019999999996,119.67741219999989,1441.331256875058
16x,100,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,65,92.834229,0.1408335,92.6933955,659.1771773051156,193.44604794999998,0.16081284999999998,193.28523509999997,1202.9265568640815
16x,100,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,78.87545800000001,0.2805415,78.59491650000001,281.1543318902908,105.43408539999999,0.36292915,105.07115624999999,290.50872711657354
16x,100,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,257,224.39404150000001,0.5773545,223.816687,388.6590327086738,313.77603749999986,0.8745690499999994,312.90146844999987,358.7778889499921
16x,100,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,361,349.3460205,0.800959,348.54506150000003,436.15967920954756,443.36771839999994,1.1113600999999993,442.25635829999993,398.9415477485652
16x,100,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0,4.1e-05,4.1e-05,0.0,1.0,4.2e-05,4.2e-05,0.0,1.0
16x,100,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,5,0.010437499999999999,0.003375,0.007062499999999999,3.092592592592592,0.013999699999999986,0.005625,0.008374699999999987,2.488835555555553
16x,100,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,9,0.017687500000000002,0.007334,0.010353500000000002,2.4117125715844017,0.0217101,0.009375,0.0123351,2.315744
16x,100,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,17,0.035583,0.01275,0.022833,2.7908235294117647,0.04246904999999999,0.015941949999999993,0.026527099999999994,2.663980880632545
16x,100,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,33,0.071354,0.0263335,0.045020500000000005,2.7096284200732907,0.08309019999999996,0.03225,0.05084019999999996,2.576440310077518
16x,100,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,65,0.1408335,0.051729,0.0891045,2.722525082642232,0.16081284999999998,0.06325625,0.09755659999999998,2.5422444422487893
16x,100,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,129,0.2805415,0.10518749999999999,0.175354,2.6670612002376712,0.36292915,0.12698509999999977,0.2359440500000002,2.8580451564789935
