complexity,object_count,triangles_per_mesh,budget_ms,budget_kind,transition,from_mode,to_mode,from_selected_p95_ms,to_selected_p95_ms,from_ray_count,to_ray_count,ray_count_gain,from_safe_stop_rate,to_safe_stop_rate,safe_stop_rate_gain,ci_low,ci_high,n_paired
16x,100,1920,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,0.8745690499999994,0,257,257,0.0,1.0,1.0,1.0,1.0,1440
16x,100,1920,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.8745690499999994,0.3592569,257,361,104,1.0,1.0,0.0,0.0,0.0,1440
16x,100,1920,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,1.1113600999999993,0,361,361,0.0,1.0,1.0,1.0,1.0,1440
16x,100,1920,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,1.1113600999999993,0.3592569,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,100,1920,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,1.1113600999999993,0,361,361,0.0,1.0,1.0,1.0,1.0,1440
16x,100,1920,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,1.1113600999999993,0.3592569,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,100,1920,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5.918935449999999,1.1113600999999993,5,361,356,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
16x,100,1920,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,1.1113600999999993,0.3592569,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,100,1920,487.70449024,convergence,true-brute_to_mesh-bvh,true-brute,mesh-bvh,443.36771839999994,1.1113600999999993,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,100,1920,487.70449024,convergence,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,1.1113600999999993,0.3592569,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,400,1920,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,0.34454789999999996,0,33,33,0.0,0.9840277777777777,0.9840277777777777,0.9770833333333333,0.9896006944444444,1440
16x,400,1920,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.34454789999999996,0.373242,33,361,328,0.9840277777777777,1.0,0.015972222222222276,0.010399305555555556,0.022916666666666665,1440
16x,400,1920,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,0.67173715,0,65,65,0.0,1.0,1.0,1.0,1.0,1440
16x,400,1920,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.67173715,0.373242,65,361,296,1.0,1.0,0.0,0.0,0.0,1440
16x,400,1920,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,0.67173715,0,65,65,0.0,1.0,1.0,1.0,1.0,1440
16x,400,1920,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.67173715,0.373242,65,361,296,1.0,1.0,0.0,0.0,0.0,1440
16x,400,1920,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,3.60276105,0,361,361,0.0,1.0,1.0,1.0,1.0,1440
16x,400,1920,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,3.60276105,0.373242,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,400,1920,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,3.60276105,0,361,361,0.0,1.0,1.0,1.0,1.0,1440
16x,400,1920,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,3.60276105,0.373242,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,400,1920,3780.4246543249997,convergence,true-brute_to_mesh-bvh,true-brute,mesh-bvh,3436.7496857499996,3.60276105,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,400,1920,3780.4246543249997,convergence,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,3.60276105,0.373242,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
