mode,budget_ms,seed,speed,collision_free_completion,reached_end,wall_contact,progress,distance_to_first_collision,collisions,distance,collisions_per_100m,predicted_k,avg_k,min_k,max_k,execution_overrun_pct
true-brute,1.50,1024,3.5,0,0,0,0.311504,30.540000,1,37.940000,2.635741,16.00,13.004762,2,15,100.000000
true-brute,1.50,1025,3.5,0,0,0,0.447123,11.940000,4,54.713333,7.310832,17.00,13.051215,1,15,100.000000
true-brute,1.50,1026,3.5,0,0,0,0.046890,-1.000000,0,5.793333,0.000000,13.00,12.408318,3,13,100.000000
true-brute,1.50,1027,3.5,0,0,0,0.397331,6.666667,4,48.480000,8.250825,15.00,11.379255,0,14,99.946395
true-brute,1.50,1028,3.5,0,0,0,0.589131,29.953333,3,71.340000,4.205214,16.00,11.464096,1,12,99.981635
true-brute,1.50,1029,3.5,0,0,0,0.110671,10.926667,2,13.686667,14.612762,15.00,11.201606,0,12,100.000000
true-brute,1.50,1030,3.5,0,0,0,0.662099,21.673333,6,79.966667,7.503126,13.00,10.299000,0,12,100.000000
true-brute,1.50,1031,3.5,0,0,0,0.400099,17.086667,4,48.660000,8.220304,16.00,13.001335,0,14,100.000000
scene-bvh,1.50,1000,3.5,1,1,0,1.000000,-1.000000,0,122.638657,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1001,3.5,1,1,0,1.000000,-1.000000,0,123.601650,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1002,3.5,0,1,0,1.000000,16.853582,2,124.217010,1.610085,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1003,3.5,0,0,0,0.105668,-1.000000,0,12.935516,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1004,3.5,0,0,0,0.386562,-1.000000,0,48.232372,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1005,3.5,0,0,0,0.467177,-1.000000,0,58.002752,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1006,3.5,1,1,0,1.000000,-1.000000,0,122.074384,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1007,3.5,0,0,0,0.061730,-1.000000,0,7.689692,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1008,3.5,0,0,0,0.495840,10.747612,2,61.834323,3.234450,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1009,3.5,0,0,0,0.117611,-1.000000,0,14.624314,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1010,3.5,1,1,0,1.000000,-1.000000,0,124.110802,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1011,3.5,0,0,0,0.063058,-1.000000,0,7.699408,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1012,3.5,0,0,0,0.590970,-1.000000,0,73.278651,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1013,3.5,0,0,0,0.688812,42.044406,1,84.295267,1.186306,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1014,3.5,0,1,0,1.000000,27.533204,1,123.676908,0.808558,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1015,3.5,0,0,0,0.718661,19.298541,1,87.279426,1.145745,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1016,3.5,0,0,0,0.465097,-1.000000,0,56.838151,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1017,3.5,0,0,0,0.281673,-1.000000,0,34.215956,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1018,3.5,0,0,0,0.582990,-1.000000,0,71.975253,0.000000,361.00,361.000000,361,361,0.000000
